,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
36,37,シンク・ロジスティクス株式会社,web系SE・PG（自社製品）,該当なし,,2019/7/3,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/461873
37,38,株式会社インタースペース,web系SE・PG（自社製品）,Java,,2019/3/26,"9億8,400万円","232億9,300万円",〇,×,https://www.geekly.co.jp/search/detail/563
38,39,株式会社ゴルフダイジェスト・オンライン,web系SE・PG（自社製品）,該当なし,,2018/11/29,"14億5,800万円","21億5,740万円",〇,×,https://www.geekly.co.jp/search/detail/213044
39,40,株式会社フォトシンス,web系SE・PG（自社製品）,"Ruby,Python,C++,Java,Go",,2019/8/28,10億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/531510
40,41,株式会社アドウェイズ,プロジェクトマネージャー（web系）,該当なし,,2019/3/11,16億500万円,415億100万円,〇,〇,https://www.geekly.co.jp/search/detail/364344
41,42,freee株式会社,web系SE・PG（自社製品）,Ruby,,2019/9/13,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/540475
42,43,TVISION INSIGHTS株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/28,"8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/479292
43,44,freee株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/13,161億603万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/540478
44,45,株式会社ラクス,web系SE・PG（自社製品）,Java,,2019/9/3,"3億7,837万円",64億800万円,〇,×,https://www.geekly.co.jp/search/detail/169022
45,46,株式会社root ip,web系SE・PG（自社製品）,"PHP,Python",,2019/2/18,900万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/325438
46,47,株式会社ドゥ・ハウス,web系SE・PG（自社製品）,該当なし,,2018/9/14,"6億9,700万円","23億9,500万円",〇,×,https://www.geekly.co.jp/search/detail/307265
47,48,株式会社ZETA,web系SE・PG（自社製品）,該当なし,,2019/2/19,1億円,"7億8,000万円",〇,×,https://www.geekly.co.jp/search/detail/3394
48,49,株式会社ディー・エヌ・エー,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/9/3,"103億9,700万円","1,393億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/390722
49,50,株式会社ミトラ,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript",,2019/9/3,"1,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/523586
50,51,コインチェック株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python",✓,2019/7/24,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/511813
51,52,株式会社ギフティ,web系SE・PG（自社製品）,Ruby,,2019/8/21,"1億9,480万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/527430
