,INDEX,会社名,職種,必要言語,実務経験,掲載日,資本金,売上,自社サービス開発,未経験可,URL
158,159,株式会社アイスタイル,web系SE・PG（自社製品）,"PHP,Java",✓,2019/7/31,"34億8,200万円","284億7,000万円",〇,×,https://www.geekly.co.jp/search/detail/460757
159,160,株式会社さくらソフト,web系SE・PG（自社製品）,"Ruby,PHP,Python,C++,Java,JavaScript",✓,2019/7/3,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/500182
160,161,株式会社うるる,web系SE・PG（自社製品）,該当なし,,2019/7/10,"9億4,415万円",14億900万円,〇,×,https://www.geekly.co.jp/search/detail/481240
161,162,GMOインターネット株式会社,web系SE・PG（自社製品）,該当なし,,2019/9/3,50億円,"1,542億5,600万円",〇,〇,https://www.geekly.co.jp/search/detail/318168
162,163,株式会社フューチュレック,web系SE・PG（自社製品）,該当なし,✓,2019/5/23,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/433626
163,164,株式会社トランビ,プロジェクトマネージャー（web系）,PHP,,2019/8/8,2億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/519642
164,165,株式会社ウェブクルー,web系SE・PG（自社製品）,Java,,2019/9/3,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/477
165,166,エムスリーデジタルコミュニケーションズ株式会社,web系SE・PG（自社製品）,"Java,JavaScript",✓,2019/9/3,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/436445
166,167,株式会社オプロ,web系SE・PG（自社製品）,"Java,JavaScript",,2019/7/30,"2億7,197万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/515037
167,168,エムスリーデジタルコミュニケーションズ株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/22,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/268767
168,169,株式会社トランク,web系SE・PG（自社製品）,PHP,,2019/7/3,8億600万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/447455
169,170,UUUM株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Go",✓,2019/7/22,"6億3,886万円","117億3,500万円",〇,×,https://www.geekly.co.jp/search/detail/510688
170,171,株式会社Zaim,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Go",✓,2019/6/14,"2,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/488929
171,172,UUUM株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Go",✓,2019/7/22,"6億3,886万円","117億3,500万円",〇,×,https://www.geekly.co.jp/search/detail/510689
172,173,株式会社シュウエイトレーディング,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/6/4,"3,190万円",16億円,〇,×,https://www.geekly.co.jp/search/detail/203747
173,174,株式会社ジンユウ,web系SE・PG（自社製品）,Ruby,,2019/6/10,非公開,非公開,〇,〇,https://www.geekly.co.jp/search/detail/365539
174,175,ソルフレア株式会社,web系SE・PG（自社製品）,"C++,Java,Go",,2019/3/20,"8,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/437475
175,176,株式会社ラクス,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/9/2,"3億7,837万円",64億800万円,〇,×,https://www.geekly.co.jp/search/detail/481252
176,177,株式会社マクロミル,web系SE・PG（自社製品）,PHP,,2019/6/6,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/479461
177,178,キラメックス株式会社,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",,2019/9/3,"4,800万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/488933
178,179,株式会社ラクス,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/6/12,"3億7,837万円",64億800万円,〇,×,https://www.geekly.co.jp/search/detail/481254
179,180,株式会社Zaim,web系SE・PG（自社製品）,該当なし,,2019/3/28,"2,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/445160
180,181,エムスリーキャリア株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Kotlin",,2019/8/28,1億円,"108億8,000万円",〇,×,https://www.geekly.co.jp/search/detail/337641
181,182,株式会社アイスタイル,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/9/4,"34億8,200万円","284億7,000万円",〇,×,https://www.geekly.co.jp/search/detail/520169
182,183,株式会社エス・エム・エス,web系SE・PG（自社製品）,"Ruby,Java",,2019/8/26,22億800万円,"308億3,600万円",〇,〇,https://www.geekly.co.jp/search/detail/526314
183,184,株式会社アイスタイル,web系SE・PG（自社製品）,"PHP,Java",,2019/8/8,"34億8,200万円","284億7,000万円",〇,×,https://www.geekly.co.jp/search/detail/520170
184,185,株式会社フォーイット,web系SE・PG（自社製品）,"PHP,Java,JavaScript",,2019/9/3,"1,000万円",122億674万円,〇,×,https://www.geekly.co.jp/search/detail/748
185,186,株式会社マーケティングアプリケーションズ,web系SE・PG（自社製品）,該当なし,,2019/4/4,"2億4,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/120813
186,187,株式会社サイバーエージェント,web系SE・PG（自社製品）,"Python,Go",,2019/8/28,72億332万円,"3,106億6,500万円",〇,×,https://www.geekly.co.jp/search/detail/531442
187,188,VIVITA株式会社,web系SE・PG（自社製品）,該当なし,,2019/8/5,"1億3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/428018
188,189,VIVITA株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/9,"1億3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/428019
189,190,株式会社マクロミル,web系SE・PG（自社製品）,PHP,,2019/9/3,"8億8,000万円","400億2,400万円",〇,×,https://www.geekly.co.jp/search/detail/354804
190,191,株式会社ディー・エヌ・エー,web系SE・PG（自社製品）,"Ruby,Python,Go",,2019/9/3,"103億9,700万円","1,393億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/387318
191,192,株式会社ビジョン・コンサルティング,web系SE・PG（自社製品）,Java,,2019/7/3,"5,000万円","20億8,000万円",〇,×,https://www.geekly.co.jp/search/detail/161271
192,193,株式会社リンクウェル,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",,2019/3/15,"7,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/437752
193,194,株式会社SKIYAKI,web系SE・PG（自社製品）,"Ruby,PHP,Python,C++,Java,JavaScript,Go",,2019/8/7,"5億5,300万円","40億8,400万円",〇,×,https://www.geekly.co.jp/search/detail/519416
194,195,株式会社Zaim,web系SE・PG（自社製品）,"Ruby,PHP,Python,Go",✓,2019/7/3,"2,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/417529
195,196,株式会社カカオジャパン,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/9/3,"9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/507900
196,197,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,"Ruby,Python,Java",✓,2019/8/6,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/518908
197,198,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,該当なし,,2019/8/6,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/518909
198,199,株式会社ZOZOテクノロジーズ,web系SE・PG（自社製品）,該当なし,,2019/8/8,"2億8,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/518910
199,200,Sansan株式会社,web系SE・PG（自社製品）,Ruby,,2019/8/26,"62億3,400万円","102億6,000万円",〇,×,https://www.geekly.co.jp/search/detail/530175
200,201,Glossom株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/5/14,"1億4,100万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/318207
201,202,株式会社マーベラス,web系SE・PG（自社製品）,該当なし,✓,2019/8/30,"11億2,847万円","318億2,000万円",〇,×,https://www.geekly.co.jp/search/detail/532736
202,203,株式会社まぐまぐ,web系SE・PG（自社製品）,Java,,2019/9/13,1億円,非公開,〇,〇,https://www.geekly.co.jp/search/detail/532737
203,204,株式会社パルコデジタルマーケティング,プロジェクトマネージャー（web系）,該当なし,✓,2019/3/12,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/423937
204,205,パーク24株式会社,web系SE・PG（自社製品）,Java,,2019/8/9,"198億6,300万円","2,985億1,700万円",〇,×,https://www.geekly.co.jp/search/detail/274946
205,206,社名非公開企業,web系SE・PG（自社製品）,"Java,JavaScript",,2019/4/1,"4億8,900万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/413186
206,207,株式会社フリークアウト,web系SE・PG（自社製品）,"Ruby,Python,C++",,2019/3/6,"11億6,000万円","57億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/348675
207,208,株式会社JX通信社,web系SE・PG（自社製品）,Python,,2019/6/4,"6億8,530万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/402948
208,209,株式会社OKAN,web系SE・PG（自社製品）,Ruby,,2019/8/6,"8億4,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/495620
209,210,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/5/22,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/404997
210,211,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/8/5,300万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/507909
211,212,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/6/28,800万円,"3億7,000万円",〇,×,https://www.geekly.co.jp/search/detail/774
212,213,社名非公開企業,web系SE・PG（自社製品）,"PHP,C++,Java",,2019/8/30,777万円,"2億6,800万円",〇,×,https://www.geekly.co.jp/search/detail/417542
213,214,株式会社ナビタイムジャパン,スマートフォン/モバイル系SE・PG,"C++,Java",✓,2019/8/26,"9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/279815
214,215,カクトク株式会社,web系SE・PG（自社製品）,"Java,JavaScript",✓,2019/7/24,800万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/428551
215,216,株式会社OKAN,web系SE・PG（自社製品）,Ruby,,2019/8/6,"8億4,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/495623
216,217,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/4/5,"3億3,350万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/337928
217,218,フラー株式会社,web系SE・PG（自社製品）,該当なし,,2019/5/30,"7億3,611万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/429832
218,219,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/4/5,"3億3,350万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/337929
219,220,アルファアーキテクト株式会社,web系SE・PG（自社製品）,Go,,2019/5/9,500万円,,〇,×,https://www.geekly.co.jp/search/detail/425225
220,221,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/5/22,"2億5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/181257
221,222,社名非公開企業,web系SE・PG（自社製品）,PHP,✓,2019/9/3,"6,050万円","7億6,376万円",〇,×,https://www.geekly.co.jp/search/detail/532747
222,223,GMOフィナンシャルホールディングス株式会社,web系SE・PG（自社製品）,"C++,Java",,2019/7/9,"6億4,971万円","216億5,700万円",〇,×,https://www.geekly.co.jp/search/detail/313099
223,224,社名非公開企業,web系SE・PG（自社製品）,"PHP,Python,Java",,2019/8/5,"3,000万円","12億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/507916
224,225,株式会社ドリコム,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java",,2019/2/20,"16億9,400万円","131億9,200万円",〇,×,https://www.geekly.co.jp/search/detail/11277
225,226,株式会社インソース,web系SE・PG（自社製品）,"PHP,Java",,2019/4/25,8億62万円,"45億3,600万円",〇,〇,https://www.geekly.co.jp/search/detail/352525
226,227,株式会社ナビタイムジャパン,web系SE・PG（自社製品）,"Java,JavaScript,Go",,2019/4/8,"9,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/2830
227,228,株式会社イメージ・マジック,web系SE・PG（自社製品）,"PHP,Java",,2019/9/3,"2億4,504万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/492814
228,229,ディップ株式会社,web系SE・PG（自社製品）,"Ruby,PHP",✓,2019/9/3,"10億8,500万円","421億7,600万円",〇,×,https://www.geekly.co.jp/search/detail/379150
229,230,株式会社ウェイブダッシュ,web系SE・PG（自社製品）,PHP,✓,2019/7/2,"5億2,454万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/492815
230,231,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/2/18,"2億1,267万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/2832
231,232,株式会社ウェイブダッシュ,web系SE・PG（自社製品）,PHP,✓,2019/7/2,"5億2,454万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/492816
232,233,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/6/4,"7億8,700万円","93億1,000万円",〇,×,https://www.geekly.co.jp/search/detail/445712
233,234,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/12,255億900万円,"1,406億4,800万円",〇,〇,https://www.geekly.co.jp/search/detail/539921
234,235,株式会社KDDIウェブコミュニケーションズ,web系SE・PG（自社製品）,該当なし,,2019/9/3,"6,500万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/492817
235,236,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java",,2019/6/27,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/375825
236,237,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Go",✓,2019/9/3,"1億2,840万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/531474
237,238,株式会社マーケットエンタープライズ,web系SE・PG（自社製品）,"Ruby,Python",,2019/6/11,3億491万円,"63億3,300万円",〇,×,https://www.geekly.co.jp/search/detail/174354
238,239,カクトク株式会社,web系SE・PG（自社製品）,"Ruby,PHP",✓,2019/7/24,800万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/445714
239,240,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java",,2019/6/4,"13億9,582万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/448531
240,241,社名非公開企業,web系SE・PG（自社製品）,"Java,Kotlin",,2019/9/3,"1億2,840万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/531476
241,242,株式会社ネットマーケティング,web系SE・PG（自社製品）,"PHP,Java",,2019/5/30,"3億9,172万円","98億6,800万円",〇,×,https://www.geekly.co.jp/search/detail/213012
242,243,株式会社クイック,web系SE・PG（自社製品）,該当なし,,2019/9/12,"3億5,131万円","191億7,300万円",〇,×,https://www.geekly.co.jp/search/detail/539925
243,244,株式会社コナミデジタルエンタテインメント,web系SE・PG（自社製品）,"PHP,C++,Java",,2019/2/13,260億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/421397
244,245,NHN SAVAWAY株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/5/9,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/216342
245,246,社名非公開企業,web系SE・PG（自社製品）,"PHP,Python,Java,JavaScript",,2019/3/12,"8,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/368407
246,247,社名非公開企業,web系SE・PG（自社製品）,Java,,2019/4/9,"1,800万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/385303
247,248,ベルフェイス株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/8/8,6億887万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/490522
248,249,株式会社クロスランゲージ,web系SE・PG（自社製品）,C++,,2019/6/4,1億円,10億円,〇,×,https://www.geekly.co.jp/search/detail/369690
249,250,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,JavaScript",✓,2019/3/11,"3億3,621万円",20億200万円,〇,×,https://www.geekly.co.jp/search/detail/318234
250,251,KLab株式会社,web系SE・PG（自社製品）,"PHP,Python",,2019/6/10,"47億2,953万円","326億7,300万円",〇,〇,https://www.geekly.co.jp/search/detail/59162
251,252,株式会社OKAN,web系SE・PG（自社製品）,Ruby,✓,2019/9/12,"8億4,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/539931
252,253,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/4/8,"3億3,621万円",20億200万円,〇,×,https://www.geekly.co.jp/search/detail/318235
253,254,株式会社オウケイウェイヴ,web系SE・PG（自社製品）,該当なし,,2019/7/3,"9億8,400万円",36億円,〇,×,https://www.geekly.co.jp/search/detail/263965
254,255,株式会社ウィルズ,web系SE・PG（自社製品）,Java,,2019/4/4,"2億7,335万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/246301
255,256,社名非公開企業,web系SE・PG（自社製品）,Ruby,✓,2019/4/2,"5億1,000万円","15億5,900万円",〇,×,https://www.geekly.co.jp/search/detail/448029
256,257,株式会社ホワイトプラス,web系SE・PG（自社製品）,"PHP,Go",,2019/2/26,"7億2,950万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/172318
257,258,バレットグループ株式会社,web系SE・PG（自社製品）,"Ruby,PHP",✓,2019/1/7,"1,000万円",30億円,〇,〇,https://www.geekly.co.jp/search/detail/184094
258,259,株式会社キャリアインデックス,web系SE・PG（自社製品）,Ruby,,2019/9/3,"3億9,323万円",17億300万円,〇,×,https://www.geekly.co.jp/search/detail/395554
259,260,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java",,2019/5/9,"4,000万円",,〇,×,https://www.geekly.co.jp/search/detail/172322
260,261,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Go",,2019/8/21,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/379171
261,262,パーソルプロセス＆テクノロジー株式会社,web系SE・PG（自社製品）,"PHP,Java",,2019/9/3,"3億1,000万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/533284
262,263,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Go",,2019/7/3,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/379172
263,264,株式会社エイシス,web系SE・PG（自社製品）,PHP,,2019/9/3,"3,000万円","90億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/343589
264,265,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/6/4,"1,990万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/443429
265,266,株式会社セブン＆アイ・ネットメディア,web系SE・PG（自社製品）,該当なし,,2019/9/5,"76億6,500万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/519973
266,267,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java,Go",,2019/3/25,"1,990万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/390181
267,268,ポーターズ株式会社,web系SE・PG（自社製品）,該当なし,,2019/4/4,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/240934
268,269,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/9,"4,000万円",,〇,〇,https://www.geekly.co.jp/search/detail/445734
269,270,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/3/25,"1,990万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/389670
270,271,社名非公開企業,web系SE・PG（自社製品）,PHP,✓,2019/2/28,"5,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/272423
271,272,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Java,JavaScript",,2019/8/5,"10億9,714万円","217億5,200万円",〇,×,https://www.geekly.co.jp/search/detail/500775
272,273,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/3,"920億1,800万円","3,370億円",〇,×,https://www.geekly.co.jp/search/detail/511271
273,274,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2018/11/22,1億円,"36億8,300万円",〇,〇,https://www.geekly.co.jp/search/detail/325415
274,275,社名非公開企業,web系SE・PG（自社製品）,"PHP,Python,Go",,2019/2/20,"3,850万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/425256
275,276,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/6/4,"18億9,200万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/438056
276,277,社名非公開企業,web系SE・PG（自社製品）,Java,,2019/9/3,"920億1,800万円","3,370億円",〇,×,https://www.geekly.co.jp/search/detail/511272
277,278,株式会社ジョリーグッド,スマートフォン/モバイル系SE・PG,該当なし,,2019/9/12,"7億2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/56616
278,279,株式会社クラウドワークス,web系SE・PG（自社製品）,Ruby,✓,2019/7/25,"17億6,700万円",15億900万円,〇,×,https://www.geekly.co.jp/search/detail/395049
279,280,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/29,"5億4,350万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/508459
280,281,Increments株式会社,web系SE・PG（自社製品）,Ruby,,2019/4/2,2億970万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/183595
281,282,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/8/9,"5,000万円","72億5,700万円",〇,×,https://www.geekly.co.jp/search/detail/454187
282,283,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Java,JavaScript,Go",✓,2019/9/3,21億210万円,"1,387億円",〇,×,https://www.geekly.co.jp/search/detail/219180
283,284,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/6/4,"1,000万円","4億8,400万円",〇,×,https://www.geekly.co.jp/search/detail/438060
284,285,社名非公開企業,web系SE・PG（自社製品）,"C++,Java",,2019/6/4,"1億4,727万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/445740
285,286,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/3/5,"3億1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/385324
286,287,社名非公開企業,web系SE・PG（自社製品）,Go,,2019/8/9,"5,000万円","72億5,700万円",〇,×,https://www.geekly.co.jp/search/detail/454188
287,288,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python",,2019/1/31,"18億5,232万円","102億7,100万円",〇,×,https://www.geekly.co.jp/search/detail/413741
288,289,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/7/1,"1,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/289581
289,290,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP",✓,2019/6/4,"1,000万円","4億8,400万円",〇,〇,https://www.geekly.co.jp/search/detail/438061
290,291,株式会社クロスランゲージ,web系SE・PG（自社製品）,C++,,2019/6/5,1億円,10億円,〇,×,https://www.geekly.co.jp/search/detail/3630
291,292,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/9/3,"1億3,374万円",,〇,×,https://www.geekly.co.jp/search/detail/530734
292,293,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Go",✓,2019/9/2,"1億5,649万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/534318
293,294,株式会社クロスランゲージ,web系SE・PG（自社製品）,"C++,Java,JavaScript",,2019/4/17,1億円,10億円,〇,×,https://www.geekly.co.jp/search/detail/51502
294,295,社名非公開企業,web系SE・PG（自社製品）,Python,,2019/9/3,"1億3,374万円",,〇,×,https://www.geekly.co.jp/search/detail/530735
295,296,株式会社マネーフォワード,web系SE・PG（自社製品）,該当なし,,2019/8/8,"22億9,000万円","28億9,900万円",〇,×,https://www.geekly.co.jp/search/detail/519471
296,297,社名非公開企業,web系SE・PG（自社製品）,Go,,2019/9/2,"1億5,649万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/534320
297,298,ノイン株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/7/10,"4億9,600万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/504112
298,299,社名非公開企業,web系SE・PG（自社製品）,Java,✓,2019/9/3,100万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/504113
299,300,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/3/6,"3,000万円","47億1,200万円",〇,×,https://www.geekly.co.jp/search/detail/345906
300,301,BASE株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript,Go",✓,2019/9/13,"25億9,224万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/540467
301,302,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Python,C++,Java",,2019/9/9,"2億1,019万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/476724
302,303,グリーンモンスター株式会社,web系SE・PG（自社製品）,PHP,✓,2019/9/12,"3,190万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/482868
303,304,株式会社電通デジタル,web系SE・PG（自社製品）,"Python,Go",,2019/8/8,"4億4,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/519732
304,305,BASE株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/9/13,"25億9,224万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/540469
305,306,株式会社WILLCO,web系SE・PG（自社製品）,Ruby,✓,2019/9/2,900万円,,〇,〇,https://www.geekly.co.jp/search/detail/476726
306,307,社名非公開企業,web系SE・PG（自社製品）,"Ruby,Python,Java",✓,2019/7/8,"17億2,600万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/457526
307,308,株式会社WILLCO,プロジェクトマネージャー（web系）,Ruby,✓,2019/9/2,900万円,,〇,×,https://www.geekly.co.jp/search/detail/476727
308,309,社名非公開企業,web系SE・PG（自社製品）,PHP,,2019/2/18,"3,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/2360
309,310,株式会社メディクルード,web系SE・PG（自社製品）,"Ruby,PHP,Python,Java,JavaScript",✓,2019/5/30,1億円,16億円,〇,×,https://www.geekly.co.jp/search/detail/480568
310,311,社名非公開企業,web系SE・PG（自社製品）,"Python,Java,JavaScript",,2019/8/5,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/515641
311,312,バルス株式会社,web系SE・PG（自社製品）,該当なし,,2019/1/27,"5,000万円",非公開,〇,〇,https://www.geekly.co.jp/search/detail/411450
312,313,社名非公開企業,オープン系SE・PG（自社製品）,"C++,Java,JavaScript",,2019/9/3,"5,000万円",170億円,〇,×,https://www.geekly.co.jp/search/detail/476731
313,314,社名非公開企業,web系SE・PG（自社製品）,該当なし,✓,2019/3/14,"2,300万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/164411
314,315,GMOペパボ株式会社,web系SE・PG（自社製品）,"Ruby,PHP,Go",✓,2019/5/29,"1億5,967万円","68億9,000万円",〇,×,https://www.geekly.co.jp/search/detail/295483
315,316,株式会社カーフロンティア,web系SE・PG（自社製品）,該当なし,✓,2019/8/5,"2,000万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/504123
316,317,社名非公開企業,web系SE・PG（自社製品）,"Ruby,PHP,Python,Go",✓,2019/7/11,"1,800万円",非公開,〇,×,https://www.geekly.co.jp/search/detail/280380
317,318,社名非公開企業,web系SE・PG（自社製品）,"PHP,Java",,2019/9/3,400万円,非公開,〇,×,https://www.geekly.co.jp/search/detail/520252
318,319,社名非公開企業,オープン系SE・PG（自社製品）,該当なし,,2019/9/3,"5,000万円",170億円,〇,×,https://www.geekly.co.jp/search/detail/476733
319,320,合同会社DMM.com,web系SE・PG（自社製品）,PHP,,2019/9/3,"1,000万円","2,114億円",〇,×,https://www.geekly.co.jp/search/detail/36926
320,321,社名非公開企業,web系SE・PG（自社製品）,該当なし,,2019/7/31,5億573万円,"14億4,300万円",〇,×,https://www.geekly.co.jp/search/detail/515646
321,322,オーマイグラス株式会社,web系SE・PG（自社製品）,該当なし,✓,2019/7/16,1億円,非公開,〇,×,https://www.geekly.co.jp/search/detail/307263
322,323,社名非公開企業,web系SE・PG（自社製品）,Ruby,,2019/4/4,非公開,非公開,〇,×,https://www.geekly.co.jp/search/detail/242496
